variable,definicion,unidad,frecuencia,fuente,codigo_serie,endpoint
credito_sector_privado,Crédito total del sistema financiero al sector privado,Millones de soles,Trimestral (último mes del trimestre),BCRPData,PN00518MM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN00518MM-PN01773AM-PN01273PM-PN01207PM/json/2005-1/2025-12/esp
pbi_desestacionalizado,Producto Bruto Interno desestacionalizado,Índice 2007 = 100,Trimestral (promedio de datos mensuales),BCRPData,PN01773AM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN00518MM-PN01773AM-PN01273PM-PN01207PM/json/2005-1/2025-12/esp
inflacion_ipc,Variación porcentual del IPC de Lima Metropolitana en los últimos 12 meses,Porcentaje,Trimestral (promedio de datos mensuales),BCRPData,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN00518MM-PN01773AM-PN01273PM-PN01207PM/json/2005-1/2025-12/esp
tipo_cambio,Tipo de cambio interbancario promedio del periodo,Soles por US$,Trimestral (promedio de datos mensuales),BCRPData,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN00518MM-PN01773AM-PN01273PM-PN01207PM/json/2005-1/2025-12/esp
creditos_sbs_millones,Créditos directos de la banca múltiple,Millones de soles,Trimestral (último mes del trimestre),SBS,B-2332,https://intranet2.sbs.gob.pe/estadistica/financiera/{anio}/{mes}/{codigo}-{prefijo}{anio}.XLS
credito_privado_pct_pbi_bcrp,Crédito al sector privado como porcentaje del PBI,Porcentaje del PBI,Trimestral,BCRPData,PN03500MQ,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN03500MQ/json/2005-1/2025-4/esp
credito_privado_pct_pbi_wdi,Crédito interno al sector privado como porcentaje del PBI,Porcentaje del PBI,Anual,Banco Mundial - WDI,FS.AST.PRVT.GD.ZS,https://api.worldbank.org/v2/country/PER/indicator/FS.AST.PRVT.GD.ZS?format=json&date=2005:2025&per_page=100
