anio,trimestre,periodo_trimestral,credito_sector_privado,pbi_desestacionalizado,inflacion_ipc,tipo_cambio,creditos_sbs_millones,credito_privado_pct_pbi_bcrp
2009,2,2009T2,115198.31229094,109.06724972362933,3.9678833924974968,3.023114206349207,174608.592,30.3915142866292
2009,3,2009T3,114597.958762,110.05087048228667,1.9179594310929433,2.9576050144300132,171854.346,30.4730753426333
2009,4,2009T4,119363.61136519,113.01914554239333,0.41496688042415836,2.8779596491228063,179195.58,31.281938880026
2010,1,2010T1,123443.01805136,115.37140932704166,0.675340855354376,2.849839420289857,183603.162,31.3748270980656
2010,2,2010T2,129247.02656823,119.36343180935266,1.1499467496370068,2.841090793650794,193653.69,32.0864838384108
2010,3,2010T3,131487.02107419,120.70377010398467,2.16582103626088,2.8051514392040695,195317.536,32.1963525769182
2010,4,2010T4,138872.91252165,122.74349106912867,2.1297478336187496,2.80430134920635,206606.192436,33.0924965538136
2011,1,2011T1,146660.8696916,124.83193431112767,2.3565421559426665,2.7788633747411997,219451.518506,33.1607396852763
2011,2,2011T2,155060.683877,125.93354693091233,3.104514629150913,2.78468546365915,235195.249996,34.416648975754
2011,3,2011T3,160175.39405399,127.72053723793766,3.4748734368989402,2.7416914369256467,242912.24961800003,34.3527280723661
2011,4,2011T4,166491.2947125,129.91906591993066,4.526955501179627,2.7108045697577268,252351.037228,35.4111901097063
2012,1,2012T1,171788.78115255,131.60007572698,4.207535240451187,2.68221471861472,257239.434586,35.5508036279524
2012,2,2012T2,179819.13209074,133.73352255678833,4.07343799214628,2.6657728619528602,270381.05676600005,36.4947024174702
2012,3,2012T3,184644.6323498,136.51891892220831,3.5144105723383734,2.6178439682539665,277233.01703,37.2742923361749
2012,4,2012T4,189786.4767449,137.025307009868,2.852597011529147,2.5842753703703703,285602.70098999987,37.7014054220255
2013,1,2013T1,193004.49590187,139.80534977815367,2.6378209694941597,2.5748979266347702,287436.30404200003,37.5021982796836
2013,2,2013T2,204373.81705398,141.54451243529567,2.51415278141882,2.66409019138756,154080.975114,37.8943982277798
2013,3,2013T3,212848.99574638,143.690834414766,3.1161765976893037,2.785844444444443,161173.406042,38.6634864042333
2013,4,2013T4,221786.8700492,146.123386461294,2.951100669000077,2.7844855555555568,168661.738664,39.2459735635826
2014,1,2014T1,227580.51229443,145.88295548160767,3.4069630757396965,2.8094662337662335,173719.703956,39.4041850764661
2014,2,2014T2,235001.421016,145.31499164257198,3.5094839663419966,2.791972063492063,179901.465613,40.3756499872349
