anio,credito_privado_pct_pbi_wdi
2005,19.066421608863
2006,20.8131640208248
2007,24.6070736917389
2008,29.7639607500021
2009,30.0145290325562
2010,30.261687153432
2011,32.3092275000503
2012,34.0437468209084
2013,37.7199291764532
2014,40.8996268175973
2015,43.8679314540478
2016,42.8090253456419
2017,42.4146143080756
2018,43.9039424432995
2019,44.7242368945336
2020,55.3124099083207
2021,47.1153342938622
2022,45.6488442298176
2023,42.9491111931795
2024,39.6187196270943
