modelo,coeficiente,error_estandar,t,p_valor,ic_95_inferior,ic_95_superior
Liquidez / PBI,-0.2609252067082942,0.16136981901098432,-1.6169393279825965,0.10973220851143595,-0.5819411822286154,0.06009076881202685
Crédito MN / PBI,-0.21963176583487415,0.11794176593715941,-1.8622051661656163,0.06615606211683929,-0.4542555094751234,0.01499197780537509
Crédito total / PBI,-0.2939010142934307,0.15535139316182578,-1.89184666008937,0.06204134068222237,-0.6029444235872703,0.01514239500040887
