variable_1,variable_2,correlacion
crecimiento_pbi,liquidez_pbi,-0.3106938722543747
crecimiento_pbi,credito_mn_pbi,-0.3155078715016026
crecimiento_pbi,credito_total_pbi,-0.3246540071548239
