periodo,credito_privado_pct_pbi_bcrp
T1.05,22.2574417515672
T2.05,23.1569431619428
T3.05,22.6593678433306
T4.05,23.3798438453576
T1.06,22.8598984662382
T2.06,23.1220738033892
T3.06,22.9941185331195
T4.06,22.9876359287395
T1.07,21.7753266083483
T2.07,23.6227657832816
T3.07,24.3115281285494
T4.07,25.5517266721539
T1.08,26.3147090889976
T2.08,27.4295792474952
T3.08,28.4404790629835
T4.08,30.1283977363474
T1.09,29.9291557783905
T2.09,30.3915142866292
T3.09,30.4730753426333
T4.09,31.281938880026
T1.10,31.3748270980656
T2.10,32.0864838384108
T3.10,32.1963525769182
T4.10,33.0924965538136
T1.11,33.1607396852763
T2.11,34.416648975754
T3.11,34.3527280723661
T4.11,35.4111901097063
T1.12,35.5508036279524
T2.12,36.4947024174702
T3.12,37.2742923361749
T4.12,37.7014054220255
T1.13,37.5021982796836
T2.13,37.8943982277798
T3.13,38.6634864042333
T4.13,39.2459735635826
T1.14,39.4041850764661
T2.14,40.3756499872349
T3.14,40.3336123405463
T4.14,40.7049664365217
T1.15,40.6426842797996
T2.15,40.8058277439588
T3.15,41.5361346965153
T4.15,41.1538728780317
T1.16,40.7723575125738
T2.16,40.5317264936982
T3.16,40.1512787255824
T4.16,40.0743266106717
T1.17,39.5780414377021
T2.17,39.4334224558253
T3.17,39.5597887191688
T4.17,40.0960982620696
T1.18,39.7086498718975
T2.18,40.2377651412108
T3.18,40.6791591997596
T4.18,41.2884781841628
T1.19,41.2481565685005
T2.19,41.7432888039057
T3.19,41.7867083816243
T4.19,40.9084494409276
T1.20,43.1115158857341
T2.20,49.5221387497664
T3.20,51.4251839625505
T4.20,50.6981672773223
T1.21,48.9535291509825
T2.21,45.8037508151189
T3.21,43.9072108146074
T4.21,43.4464016583334
T1.22,43.4752744602753
T2.22,43.4688355442819
T3.22,43.0355080146788
T4.22,42.4079049923982
T1.23,41.8356577250558
T2.23,41.1296972060206
T3.23,40.6238113374854
T4.23,40.1991075384064
T1.24,39.2543855769229
T2.24,38.9101768685412
T3.24,37.5247158813104
T4.24,36.8559484493693
T1.25,36.2025486819508
T2.25,36.2966858312834
T3.25,36.0749540772788
T4.25,35.8788687605334
