fecha,error
2016-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Junio/B-2332-ju2016.XLS
2016-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2016/Julio/B-2332-ju2016.XLS
2017-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Mayo/B-2332-ma2017.XLS
2017-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Junio/B-2332-ju2017.XLS
2017-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2017/Julio/B-2332-ju2017.XLS
2018-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Mayo/B-2332-ma2018.XLS
2018-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Junio/B-2332-ju2018.XLS
2018-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2018/Julio/B-2332-ju2018.XLS
2019-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Mayo/B-2332-ma2019.XLS
2019-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Junio/B-2332-ju2019.XLS
2019-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2019/Julio/B-2332-ju2019.XLS
2020-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Mayo/B-2332-ma2020.XLS
2020-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Junio/B-2332-ju2020.XLS
2020-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2020/Julio/B-2332-ju2020.XLS
2021-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Mayo/B-2332-ma2021.XLS
2021-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Junio/B-2332-ju2021.XLS
2021-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2021/Julio/B-2332-ju2021.XLS
2022-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2022/Mayo/B-2332-ma2022.XLS
2022-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2022/Junio/B-2332-ju2022.XLS
2022-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2022/Julio/B-2332-ju2022.XLS
2023-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2023/Mayo/B-2332-ma2023.XLS
2023-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2023/Junio/B-2332-ju2023.XLS
2023-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2023/Julio/B-2332-ju2023.XLS
2024-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Mayo/B-2332-ma2024.XLS
2024-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Junio/B-2332-ju2024.XLS
2024-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Julio/B-2332-ju2024.XLS
2025-05,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Mayo/B-2332-ma2025.XLS
2025-06,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Junio/B-2332-ju2025.XLS
2025-07,No se pudo descargar el boletín después de 3 intentos. Último error: 404 Client Error: Not Found for url: https://intranet2.sbs.gob.pe/estadistica/financiera/2025/Julio/B-2332-ju2025.XLS
