periodo,credito_sector_privado,tipo_cambio,inflacion_ipc,pbi_real
Ene.2005,52789.38064142,3.26785714285714,3.03097911143629,83.076185978987
Feb.2005,52925.03508328,3.25876,1.68486346916637,84.7443785929493
Mar.2005,53447.90565674,3.25928095238095,1.87692373675019,82.4383166663078
Abr.2005,54505.7817969,3.25795,2.02120797476034,84.5379693056899
May.2005,55552.114988,3.25499047619048,1.78991360320908,85.4047286850945
Jun.2005,56244.94075975,3.25299523809524,1.48619031469285,85.2863565757417
Jul.2005,56908.29569425,3.25213157894737,1.39655085833978,85.9444109656823
Ago.2005,57386.20651016,3.25767272727273,1.22409427378704,85.6791195518041
Sep.2005,58036.17033738,3.30762727272727,1.11178638841314,86.5245707615074
Oct.2005,59393.03781208,3.38044761904762,1.2822280924001,87.1234289716052
Nov.2005,61500.54209649,3.37676190476191,1.06109171419654,89.0875532678117
Dic.2005,63153.93758465,3.42449047619048,1.49426032513706,87.9121131862351
Ene.2006,60847.02724669,3.39319545454545,1.89928300065183,89.6057266309361
Feb.2006,61543.41869986,3.288465,2.69892663277413,89.9481239292913
Mar.2006,63269.31748864,3.34001739130435,2.50196392133908,91.6266066789985
Abr.2006,63008.90905007,3.3313,2.90245879697595,90.8316629786575
May.2006,64081.24174922,3.27853636363636,2.23003569274239,90.9746543165763
Jun.2006,64706.03261014,3.26390952380952,1.82598470764676,91.8803909655891
Jul.2006,65276.02121596,3.243425,1.54620334004134,91.5394183789024
Ago.2006,65414.80957068,3.23479090909091,1.87067015257125,93.2506012930156
Sep.2006,67154.729085,3.24791428571429,1.99470938591183,92.6041150857929
Oct.2006,67818.07209439,3.23740909090909,1.8918527701293,93.6013059043123
Nov.2006,69552.76464804,3.22249047619048,1.53527027131057,93.6957748663498
Dic.2006,69433.815248,3.20508947368421,1.13748466302501,94.6343467920095
Ene.2007,69819.4704288,3.19266363636364,0.644192485593111,96.1704480882607
Feb.2007,70717.51374107,3.19029,0.355106579631463,96.2881263161898
Mar.2007,72596.32102162,3.18557727272727,0.246889470132424,97.8314819751364
Abr.2007,74195.32338948,3.17824210526316,-0.0840423246943481,97.4418401983132
May.2007,75878.92549683,3.16761818181818,0.940332272525899,100.527037479075
Jun.2007,77226.43963749,3.170315,1.54903128174348,99.5749215128561
Jul.2007,78477.658902,3.16092272727273,2.20614337091199,100.210927651919
Ago.2007,79557.26584304,3.15747272727273,2.20365399385851,100.651163150322
Sep.2007,80880.13052486,3.135545,2.80151716782047,100.978217436819
Oct.2007,81454.493395,3.01942727272727,3.07919123254024,102.132121038679
Nov.2007,85689.261382,3.00089047619048,3.48560650700319,103.674025022899
Dic.2007,88191.467168,2.98104,3.92767933030371,104.519690129532
Ene.2008,88236.25958191,2.95016818181818,4.14862783419738,105.308133148231
Feb.2008,88303.65711578,2.90505714285714,4.82129791165961,107.402329433869
Mar.2008,86872.97808525,2.81029473684211,5.54520020212678,107.343803572593
Abr.2008,90691.15923265,2.74765011303739,5.51992846176267,109.026491768101
May.2008,92479.41035036,2.8045,5.39142477174437,108.101418541177
Jun.2008,96859.05798422,2.89227619047619,5.70602688265523,110.014931554907
Jul.2008,96892.56973114,2.84752380952381,5.79011433632016,110.063367230517
Ago.2008,100571.89224765,2.8933380952381,6.26929843411577,109.691103459051
Sep.2008,102725.42237586,2.96626363636364,6.22145226914745,110.7426674467
Oct.2008,107686.6301157,3.07358636363636,6.53818099426607,110.43730592219
Nov.2008,110721.9336351,3.09208888888889,6.74891008942323,110.531973336922
Dic.2008,112728.05364628,3.11397,6.65020733404168,109.37708933771
Ene.2009,114337.09751056,3.15154210526316,6.52648290285566,110.369635699562
Feb.2009,116001.921158,3.236695,5.4900016860933,109.706950954861
Mar.2009,114749.7419878,3.17478636363636,4.77836275109507,108.478546892175
Abr.2009,112559.40698639,3.084215,4.63691133716491,109.378452114632
May.2009,113943.63314136,2.99438,4.20687598406191,110.800279504928
Jun.2009,115198.31229094,2.99074761904762,3.05986285626567,107.023017551328
Jul.2009,115811.90843004,3.012625,2.68189445536994,108.611652967622
Ago.2009,115353.1735417,2.95068095238095,1.86741608176118,110.61198960687
Sep.2009,114597.958762,2.90950909090909,1.20456775614771,110.928968872368
Oct.2009,115909.9925559,2.872,0.711181735610848,112.091018593256
Nov.2009,117996.14189088,2.8843,0.288402470011201,113.168139880958
Dic.2009,119363.61136519,2.87757894736842,0.245316435650426,113.798278152966
Ene.2010,120129.76716614,2.856255,0.435718739101945,114.066790233887
Feb.2010,121505.54801455,2.853985,0.835043257655835,115.262996368135
Mar.2010,123443.01805136,2.83927826086957,0.755260569305348,116.784441379103
Abr.2010,125852.1622044,2.8398,0.76165337907765,118.008785407794
May.2010,127792.87440496,2.84545238095238,1.04478015205456,119.065058648937
